0000-0001-5029-1158	chmo
0000-0001-5243-225X	hp
0000-0001-5275-8866	agro|envo|genepio
0000-0001-5298-0168	hp
0000-0001-5493-2602	mondo
0000-0001-5751-2224	mondo
0000-0001-5835-5515	hp
0000-0001-5889-4461	hp
0000-0001-5889-4462	hp
0000-0001-6164-0667	cl
0000-0001-6238-9793	vbo
0000-0001-6284-4821	agro|envo|pco
0000-0001-6595-0902	omrse|uberon
0000-0001-6624-9261	mp
0000-0001-6677-8489	cl|uberon
0000-0001-6964-7302	mondo
0000-0001-7151-1615	mondo
0000-0001-7451-4467	mondo
0000-0001-7941-29610	maxo
0000-0001-7941-2962	maxo
0000-0001-7941-2963	maxo
0000-0001-7941-2964	maxo
0000-0001-7941-2965	maxo
0000-0001-7941-2969	maxo
0000-0001-7941-2974	maxo
0000-0001-7941-2978	maxo
0000-0001-7941-2979	maxo
0000-0001-7941-3010	maxo
0000-0001-8415-4848	fovt|oba|uberon
0000-0001-8743-9574	envo
0000-0001-9196-0135	mp
0000-0001-9446-7979	ons
0000-0002-0104-692X	hp
0000-0002-0449-2730	uberon
0000-0002-0538-4547	hp
0000-0002-0569-2259	envo
0000-0002-1107-9135	agro|envo|genepio
0000-0002-1425-877X	cl
0000-0002-1595-3213	iao
0000-0002-1780-5230	mondo
0000-0002-2234-4248	hp
0000-0002-2592-4715	hp
0000-0002-2658-1136	mondo
0000-0002-2738-824X	envo|pato
0000-0002-2908-332	nbo
0000-0002-2952-2828	envo
0000-0002-3467-1406	envo
0000-0002-4095-8489	hp
0000-0002-4277-2151	nbo
0000-0002-4364-7715	ecocore
0000-0002-4378-6061	chmo|mop
0000-0002-4422-1708	hp
0000-0002-4455-3112	mondo
0000-0002-4900-7575	mondo
0000-0002-5002-8648	vbo
0000-0002-5260-9315	cl|pato|ro
0000-0002-5480-427X	uberon
0000-0002-5655-9589	hp|mondo
0000-0002-6469-1475	hp
0000-0002-6548-5200	hp
0000-0002-7371-8158	hp|mondo
0000-0002-7431-4139	cl|uberon
0000-0002-7556-2097	envo
0000-0002-7698-0055	mp
0000-0002-8016-0076	hp
0000-0002-8166-0486	envo|pato
0000-0002-8213-0815	agro
0000-0002-8395-2570	envo|genepio
0000-0002-8445-4565	cl
0000-0002-9113-2978	hp
0000-0002-9338-3017	hp
0000-0002-9353-549	hp
0000-0002-9578-0788	envo|genepio|hp
0000-0002-9731-6356	mondo
0000-0003-0113-912XF	mondo
0000-0003-1072-8081	envo|pato
0000-0003-1245-3907	mondo
0000-0003-1909-9269	ro
0000-0003-2307-1226	hp|mp
0000-0003-2569-1939|HTTPS://ORCID.ORG/0000-0002-7535-4407	plana
0000-0003-2620-0345	ro
0000-0003-2945-4463	hp
0000-0003-3065-9183	cl
0000-0003-3440-1876	cl|uberon
0000-0003-3777-1389	hp
0000-0003-3985-4911	agro
0000-0003-4183-8865	cl|uberon
0000-0003-4412-7970	cl
0000-0003-4546-6667	hp
0000-0003-4830-7530	maxo
0000-0003-4972-2947	mondo
0009-0006-4530-3154	hp
0009-0009-9147-3105	mondo
